---2025-10-31 17:56:29.773242: start.---
GPU [1,2,3] is available: True
DDP is available: True

---2025-10-31 17:56:35.065893: Loading data. ---
load: /raid/home/xukai/FRATTVAE/results/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral_struct_1031/input_data/params.yml

data: /raid/home/xukai/FRATTVAE/data/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral.csv
train: 1305313, valid: 72129, test: 72640, useChiral: True, n_jobs: 10
fragments: 149556, feature: 39, tree: (32, 16), prop: None
---2025-10-31 17:59:30.394686: Loading data done. (elapsed time: 00:00:02:55)---

---2025-10-31 17:59:36.790779: Training start (valid: True).---
epoch: 1000, batch_size: 900, learning_rate: 0.0001, dropout: 0.1, save: 200, kl_w: 0.0005, l_w: 6.0, p_w: 1.0
[385/1000] <train> total: 2.8204, unweighted: 135.5222, kl: 135.0634, label: 0.4588, prop: 0.0000, label_acc: 0.6703, label_pad_acc: 0.8047, elapsed time: 00:00:02:47
[390/1000] <train> total: 2.8090, unweighted: 135.1722, kl: 134.7153, label: 0.4569, prop: 0.0000, label_acc: 0.6715, label_pad_acc: 0.8061, elapsed time: 00:00:02:50
[395/1000] <train> total: 2.8041, unweighted: 135.3020, kl: 134.8458, label: 0.4561, prop: 0.0000, label_acc: 0.6722, label_pad_acc: 0.8065, elapsed time: 00:00:02:51
[400/1000] <valid> total: 115.1647, unweighted: 152.6912, kl: 133.5082, label: 19.1830, prop: 0.0000, label_acc: 0.6736, label_pad_acc: 0.8243, elapsed time: 00:00:02:55
model_iter400 saved.
[400/1000] <train> total: 2.7871, unweighted: 134.6546, kl: 134.2013, label: 0.4533, prop: 0.0000, label_acc: 0.6735, label_pad_acc: 0.8072, elapsed time: 00:00:02:56
[405/1000] <train> total: 2.7781, unweighted: 133.7514, kl: 133.2995, label: 0.4519, prop: 0.0000, label_acc: 0.6744, label_pad_acc: 0.8079, elapsed time: 00:00:02:48
[410/1000] <train> total: 2.7613, unweighted: 133.8581, kl: 133.4090, label: 0.4491, prop: 0.0000, label_acc: 0.6757, label_pad_acc: 0.8073, elapsed time: 00:00:02:42
[415/1000] <train> total: 2.7539, unweighted: 132.8951, kl: 132.4472, label: 0.4479, prop: 0.0000, label_acc: 0.6770, label_pad_acc: 0.8091, elapsed time: 00:00:03:24
[420/1000] <train> total: 2.7309, unweighted: 132.6150, kl: 132.1709, label: 0.4441, prop: 0.0000, label_acc: 0.6779, label_pad_acc: 0.8083, elapsed time: 00:00:03:15
[425/1000] <train> total: 2.7178, unweighted: 132.1619, kl: 131.7199, label: 0.4420, prop: 0.0000, label_acc: 0.6790, label_pad_acc: 0.8105, elapsed time: 00:00:03:15
[430/1000] <train> total: 2.7266, unweighted: 131.9877, kl: 131.5443, label: 0.4435, prop: 0.0000, label_acc: 0.6792, label_pad_acc: 0.8118, elapsed time: 00:00:03:15
model_iter425 saved. [total: 2.7178]
[435/1000] <train> total: 2.7068, unweighted: 131.3054, kl: 130.8651, label: 0.4402, prop: 0.0000, label_acc: 0.6804, label_pad_acc: 0.8115, elapsed time: 00:00:03:10
[440/1000] <train> total: 2.6977, unweighted: 130.7845, kl: 130.3458, label: 0.4388, prop: 0.0000, label_acc: 0.6816, label_pad_acc: 0.8124, elapsed time: 00:00:03:09
[445/1000] <train> total: 2.6881, unweighted: 130.4467, kl: 130.0095, label: 0.4372, prop: 0.0000, label_acc: 0.6825, label_pad_acc: 0.8132, elapsed time: 00:00:02:50
[450/1000] <train> total: 2.6771, unweighted: 130.4130, kl: 129.9777, label: 0.4353, prop: 0.0000, label_acc: 0.6833, label_pad_acc: 0.8132, elapsed time: 00:00:02:44
[455/1000] <train> total: 2.6685, unweighted: 129.9381, kl: 129.5041, label: 0.4340, prop: 0.0000, label_acc: 0.6844, label_pad_acc: 0.8148, elapsed time: 00:00:02:41
[460/1000] <train> total: 2.6552, unweighted: 129.2132, kl: 128.7814, label: 0.4318, prop: 0.0000, label_acc: 0.6851, label_pad_acc: 0.8133, elapsed time: 00:00:03:19
[465/1000] <train> total: 2.6398, unweighted: 128.4316, kl: 128.0023, label: 0.4293, prop: 0.0000, label_acc: 0.6866, label_pad_acc: 0.8166, elapsed time: 00:00:03:44
[470/1000] <train> total: 2.6437, unweighted: 128.9702, kl: 128.5403, label: 0.4299, prop: 0.0000, label_acc: 0.6871, label_pad_acc: 0.8167, elapsed time: 00:00:03:59
[475/1000] <train> total: 2.6333, unweighted: 128.3228, kl: 127.8946, label: 0.4282, prop: 0.0000, label_acc: 0.6873, label_pad_acc: 0.8169, elapsed time: 00:00:04:00
[480/1000] <train> total: 2.6272, unweighted: 127.8822, kl: 127.4549, label: 0.4272, prop: 0.0000, label_acc: 0.6889, label_pad_acc: 0.8182, elapsed time: 00:00:03:48
model_iter478 saved. [total: 2.6141]
[485/1000] <train> total: 2.6091, unweighted: 126.9888, kl: 126.5645, label: 0.4243, prop: 0.0000, label_acc: 0.6895, label_pad_acc: 0.8186, elapsed time: 00:00:03:49
[490/1000] <train> total: 2.6078, unweighted: 126.8472, kl: 126.4231, label: 0.4241, prop: 0.0000, label_acc: 0.6902, label_pad_acc: 0.8188, elapsed time: 00:00:03:55
[495/1000] <train> total: 2.5962, unweighted: 126.9443, kl: 126.5221, label: 0.4222, prop: 0.0000, label_acc: 0.6913, label_pad_acc: 0.8194, elapsed time: 00:00:03:50
[500/1000] <train> total: 2.5816, unweighted: 126.4316, kl: 126.0119, label: 0.4198, prop: 0.0000, label_acc: 0.6920, label_pad_acc: 0.8196, elapsed time: 00:00:03:49
[505/1000] <train> total: 2.5778, unweighted: 126.2758, kl: 125.8566, label: 0.4191, prop: 0.0000, label_acc: 0.6928, label_pad_acc: 0.8204, elapsed time: 00:00:03:53
[510/1000] <train> total: 2.5775, unweighted: 126.5125, kl: 126.0934, label: 0.4191, prop: 0.0000, label_acc: 0.6934, label_pad_acc: 0.8208, elapsed time: 00:00:03:46
[515/1000] <train> total: 2.5658, unweighted: 126.1647, kl: 125.7475, label: 0.4171, prop: 0.0000, label_acc: 0.6943, label_pad_acc: 0.8215, elapsed time: 00:00:03:43
[520/1000] <train> total: 2.5563, unweighted: 125.7069, kl: 125.2913, label: 0.4156, prop: 0.0000, label_acc: 0.6950, label_pad_acc: 0.8218, elapsed time: 00:00:03:51
[525/1000] <train> total: 2.5518, unweighted: 125.0229, kl: 124.6080, label: 0.4149, prop: 0.0000, label_acc: 0.6958, label_pad_acc: 0.8216, elapsed time: 00:00:03:52
[530/1000] <train> total: 2.5515, unweighted: 125.2178, kl: 124.8030, label: 0.4149, prop: 0.0000, label_acc: 0.6961, label_pad_acc: 0.8225, elapsed time: 00:00:03:54
[535/1000] <train> total: 2.5385, unweighted: 124.4773, kl: 124.0646, label: 0.4127, prop: 0.0000, label_acc: 0.6968, label_pad_acc: 0.8224, elapsed time: 00:00:03:47
[540/1000] <train> total: 2.5314, unweighted: 124.4717, kl: 124.0601, label: 0.4116, prop: 0.0000, label_acc: 0.6979, label_pad_acc: 0.8237, elapsed time: 00:00:03:48
[545/1000] <train> total: 2.5207, unweighted: 123.8417, kl: 123.4319, label: 0.4098, prop: 0.0000, label_acc: 0.6987, label_pad_acc: 0.8240, elapsed time: 00:00:03:49
[550/1000] <train> total: 2.5215, unweighted: 123.8919, kl: 123.4820, label: 0.4100, prop: 0.0000, label_acc: 0.6986, label_pad_acc: 0.8241, elapsed time: 00:00:03:52
model_iter548 saved. [total: 2.5140]
[555/1000] <train> total: 2.5082, unweighted: 123.0471, kl: 122.6393, label: 0.4078, prop: 0.0000, label_acc: 0.7002, label_pad_acc: 0.8253, elapsed time: 00:00:03:48
[560/1000] <train> total: 2.4999, unweighted: 123.3096, kl: 122.9032, label: 0.4064, prop: 0.0000, label_acc: 0.7005, label_pad_acc: 0.8258, elapsed time: 00:00:03:42
[565/1000] <train> total: 2.5023, unweighted: 122.7077, kl: 122.3008, label: 0.4069, prop: 0.0000, label_acc: 0.7010, label_pad_acc: 0.8260, elapsed time: 00:00:03:57
model_iter560 saved. [total: 2.4999]
[570/1000] <train> total: 2.4850, unweighted: 122.5364, kl: 122.1324, label: 0.4040, prop: 0.0000, label_acc: 0.7020, label_pad_acc: 0.8273, elapsed time: 00:00:03:57
[575/1000] <train> total: 2.4902, unweighted: 122.1101, kl: 121.7052, label: 0.4049, prop: 0.0000, label_acc: 0.7023, label_pad_acc: 0.8268, elapsed time: 00:00:03:49
model_iter570 saved. [total: 2.4850]
[580/1000] <train> total: 2.4788, unweighted: 122.4881, kl: 122.0852, label: 0.4030, prop: 0.0000, label_acc: 0.7031, label_pad_acc: 0.8276, elapsed time: 00:00:03:54
[585/1000] <train> total: 2.4746, unweighted: 122.2518, kl: 121.8495, label: 0.4023, prop: 0.0000, label_acc: 0.7033, label_pad_acc: 0.8284, elapsed time: 00:00:03:50
[590/1000] <train> total: 2.4679, unweighted: 121.7889, kl: 121.3877, label: 0.4012, prop: 0.0000, label_acc: 0.7042, label_pad_acc: 0.8287, elapsed time: 00:00:03:56
model_iter587 saved. [total: 2.4654]
[595/1000] <train> total: 2.4684, unweighted: 121.1249, kl: 120.7235, label: 0.4013, prop: 0.0000, label_acc: 0.7045, label_pad_acc: 0.8288, elapsed time: 00:00:03:55
[600/1000] <valid> total: 123.6818, unweighted: 142.3589, kl: 121.7555, label: 20.6035, prop: 0.0000, label_acc: 0.6972, label_pad_acc: 0.8407, elapsed time: 00:00:04:07
model_iter600 saved.
[600/1000] <train> total: 2.4567, unweighted: 121.5122, kl: 121.1128, label: 0.3994, prop: 0.0000, label_acc: 0.7055, label_pad_acc: 0.8291, elapsed time: 00:00:04:08
[605/1000] <train> total: 2.4524, unweighted: 121.1865, kl: 120.7879, label: 0.3987, prop: 0.0000, label_acc: 0.7060, label_pad_acc: 0.8301, elapsed time: 00:00:03:53
[610/1000] <train> total: 2.4521, unweighted: 121.5929, kl: 121.1943, label: 0.3986, prop: 0.0000, label_acc: 0.7061, label_pad_acc: 0.8299, elapsed time: 00:00:03:53
